Name,Id,StatusCode
PM GROTTALUPARA,S11514,NoContent
PM Groane,S01928,NoContent
PONTE RONCA,S05919,NoContent
PONTE S. CONO,S09841,NoContent
PONTELAMBRO - CASTELMARTE,S01097,NoContent
PONTELATONE,S09027,NoContent
POPPI,S06074,NoContent
PORRENA - STRADA - MONTEM.,S06073,NoContent
POSTOJNA,S00750,NoContent
POTENZA MACCHIA ROMANA,S11215,NoContent
POVO,S02301,NoContent
PRATA CAMPORTACCIO,S01417,NoContent
PRATISSOLO,S05985,NoContent
PRATO TIRES,S02024,NoContent
PRATOFONTANA,S05947,NoContent
PRATOVECCHIO,S06072,NoContent
PRATOVECCHIO STIA,S06071,NoContent
PROSECCO,S03551,NoContent
PUGLIA - CECILIANO,S06085,NoContent
PdE 2AV,S05299,NoContent
QUADRI-BORELLO,S07996,NoContent
QUARTESANA,S05170,NoContent
QUATTRO VILLE,S05268,NoContent
QUISTELLO,S05156,NoContent
RAPOLLA - LAVELLO,S11207,NoContent
RASSINA,S06078,NoContent
REGGIO ALL'ANGELO,S05934,NoContent
REGGIO DI CALABRIA ARCHI,S11973,NoContent
REGGIO DI CALABRIA BOCALE,S11969,NoContent
REGGIO DI CALABRIA OMECA,S11970,NoContent
REGGIO DI CALABRIA S.CATERINA,S11975,NoContent
REGGIO MEDIOPADANA,S05195,NoContent
REGGIO STADIO GIGLIO,S05191,NoContent
REMANZACCO,S03059,NoContent
RESCALDINA,S01135,NoContent
RHO FIERA MILANO,S01039,NoContent
RIDOTTI-COLLEPIANO,S08815,NoContent
RIGOLA - STADIO,S00084,NoContent
RIMINIFIERA,S05057,NoContent
RIVAROLO,S00884,NoContent
ROCCAVALDINA,S12046,NoContent
ROCCAVIVI,S08814,NoContent
ROMA BALDUINA,S08327,NoContent
ROMA NOMENTANA LM,S08232,NoContent
ROSENHEIM,S03600,NoContent
ROTONDI-PAOLISI,S09016,NoContent
ROTTEWEIL,S29411,NoContent
ROVERETO - S.V. - MEDELANA,S05173,NoContent
ROVETO BIMMISCA,S12442,NoContent
ROVIGLIANO,S09771,NoContent
Reggio Emilia (tutte le stazioni),S13550,NoContent
S SOSTENE,S11838,NoContent
